,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,id,docket_id
13283,0.00909136240397395,0.00909123818730636,0.009091230209456905,0.009091790242177588,0.009090912568842122,0.009091124132515508,0.009091332470736959,0.009096627077311676,0.9181732709893787,0.009091111718300226,090000648432485c,FNS-2019-0007
62443,0.0009260383022322092,0.0009259955079357816,0.0009259463849233151,0.0009259281879863236,0.0009259264870978708,0.0009263316276327741,0.0009261722488541938,0.0009260154899185477,0.9916651679856432,0.000926477777775807,09000064843e2ed6,FNS-2019-0007
111098,0.0007576955744447652,0.9931814546533584,0.0007575918337509143,0.0007575822543654225,0.0007575837582322299,0.0007576138314476974,0.0007575957427088993,0.0007576024700695757,0.0007576419024784017,0.0007576379791438794,09000064847c97a0,FNS-2020-0015
11205,0.005263358935223227,0.0052632678249947525,0.005263160835951392,0.005263215339299496,0.005263233153436302,0.005265767224892522,0.9526262837981203,0.005264388293983392,0.005263157901357744,0.0052641666927410674,09000064841db60a,FNS-2019-0009
8965,0.003704191689151408,0.003704172152100581,0.0037037609039500675,0.003705526446894052,0.003703704095689137,0.0037042134296282666,0.798653830949039,0.17171184178629334,0.003704529257359566,0.0037042292898946953,0900006484108a4c,FNS-2018-0037
129130,0.0010311402851967554,0.0010312242378792732,0.001030952476350234,0.001030944063819842,0.0010309310953181337,0.0010310246073162606,0.0010309850243271905,0.0010310088532702886,0.0010311503877043493,0.9907206389688177,090000648406062a,FNS-2019-0001
90633,0.4799817987275028,0.012502485040937598,0.27130218360046005,0.01250059799554815,0.012500000006627612,0.012501685041956277,0.012500412704564565,0.16120686476032683,0.012500904821450352,0.012503067300625679,09000064846dcb8b,FNS-2019-0001
2453,0.005555559836672864,0.005555555559511888,0.005555590133381224,0.005555642409746492,0.005555884119566715,0.05789056651798393,0.8976603805499699,0.00555555706489382,0.005559176028744849,0.005556087779528241,09000064841cf0de,FNS-2019-0009
14643,0.9896528964356526,0.0011496082352416132,0.0011494595528795041,0.0011494778144423643,0.001151115725625681,0.001149476412155425,0.0011494610011713942,0.001149479415926439,0.001149521536467243,0.0011495038704377606,0900006484399bc2,FNS-2019-0001
37396,0.9897721386309792,0.0011365522057227237,0.0011363971164797958,0.0011363730017821861,0.0011364283456822243,0.001136413594889096,0.0011363939256778576,0.0011364036113927303,0.0011364601223597985,0.0011364394450341846,09000064843ac58d,FNS-2019-0001
