id,docket_id,topic,likeliness
09000064841508eb,EPA-HQ-OPPT-2019-0113,topic_8,0.8373456564818975
0900006484151b65,EPA-HQ-OPPT-2019-0114,topic_4,0.6999999999996545
0900006484181698,EPA-HQ-OW-2017-0300,topic_2,0.8115578048351619
0900006484180659,EPA-HQ-OW-2017-0300,topic_2,0.5594422512461616
0900006484184028,EPA-HQ-OW-2017-0300,topic_8,0.5169478309541887
090000648415835a,EPA-HQ-ORD-2019-0275,topic_2,0.5522360622017962
090000648417f5d3,EPA-HQ-OPPT-2019-0437,topic_8,0.5514241905061074
0900006484165046,EPA-HQ-OLEM-2019-0486,topic_2,0.6977511366244898
0900006484185c46,EPA-HQ-OPPT-2018-0465,topic_4,0.4559984709626486
090000648417dab4,EPA-HQ-OW-2018-0826,topic_8,0.5947994588236999
090000648411cb23,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb26,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb28,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb2e,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb21,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb24,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb25,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb27,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb29,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb22,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
0900006484188b4f,EPA-HQ-OAR-2015-0072,topic_3,0.549999999999143
0900006484188468,EPA-HQ-OPP-2006-0766,topic_3,0.549999999999143
0900006484139862,EPA-HQ-OPP-2011-0855,topic_2,0.4358737016660356
0900006484188ba2,EPA-HQ-OAR-2015-0072,topic_3,0.549999999999143
090000648411cb05,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb06,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb08,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb09,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb0a,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb0b,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb0c,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
