id,docket_id,topic,likeliness
090000648473238d,USDA-2020-0003,topic_9,0.9608571902608237
09000064847325aa,USDA-2020-0003,topic_9,0.9477791290827662
0900006484733637,USDA-2020-0003,topic_9,0.9566400529423573
0900006484734e1b,USDA-2020-0003,topic_9,0.6040874954910705
090000648431a6d7,USDA-2020-0009,topic_5,0.987670861207786
090000648431a6dc,USDA-2020-0009,topic_5,0.987670861207786
090000648431a6ed,USDA-2020-0009,topic_5,0.987670861207786
090000648431a756,USDA-2020-0009,topic_5,0.987670861207786
090000648431a803,USDA-2020-0009,topic_5,0.987670861207786
090000648431ae00,USDA-2020-0009,topic_5,0.987670861207786
090000648431ae7d,USDA-2020-0009,topic_5,0.987670861207786
090000648431ae86,USDA-2020-0009,topic_5,0.987670861207786
090000648431af0c,USDA-2020-0009,topic_5,0.987670861207786
090000648431af16,USDA-2020-0009,topic_5,0.987670861207786
090000648431b008,USDA-2020-0009,topic_5,0.987670861207786
090000648431b00c,USDA-2020-0009,topic_5,0.987670861207786
090000648431b5e4,USDA-2020-0009,topic_5,0.987670861207786
090000648431b6b4,USDA-2020-0009,topic_5,0.987670861207786
090000648431b6c8,USDA-2020-0009,topic_5,0.987670861207786
090000648431b6d4,USDA-2020-0009,topic_5,0.987670861207786
090000648431b7a5,USDA-2020-0009,topic_5,0.987670861207786
090000648431b99f,USDA-2020-0009,topic_5,0.987670861207786
090000648431bac7,USDA-2020-0009,topic_5,0.987670861207786
090000648431bce3,USDA-2020-0009,topic_5,0.987670861207786
090000648431bcf7,USDA-2020-0009,topic_5,0.987670861207786
090000648431bd74,USDA-2020-0009,topic_5,0.987670861207786
090000648431be08,USDA-2020-0009,topic_5,0.987670861207786
090000648431beac,USDA-2020-0009,topic_5,0.987670861207786
090000648431bfc6,USDA-2020-0009,topic_5,0.987670861207786
090000648431c0d7,USDA-2020-0009,topic_5,0.987670861207786
090000648431c143,USDA-2020-0009,topic_5,0.987670861207786
090000648431c250,USDA-2020-0009,topic_5,0.987670861207786
09000064843197a7,USDA-2020-0009,topic_5,0.987670861207786
09000064843197b6,USDA-2020-0009,topic_5,0.987670861207786
0900006484319868,USDA-2020-0009,topic_5,0.987670861207786
090000648431986d,USDA-2020-0009,topic_5,0.987670861207786
0900006484319900,USDA-2020-0009,topic_5,0.987670861207786
090000648433818f,USDA-2020-0009,topic_5,0.9876708612075473
09000064843381f8,USDA-2020-0009,topic_5,0.9876708612075473
09000064843382d8,USDA-2020-0009,topic_5,0.9876708612075473
09000064843382eb,USDA-2020-0009,topic_5,0.9876708612075473
0900006484338319,USDA-2020-0009,topic_5,0.9876708612075473
090000648433837c,USDA-2020-0009,topic_5,0.9876708612075473
090000648433839a,USDA-2020-0009,topic_5,0.9876708612075473
0900006484338483,USDA-2020-0009,topic_5,0.9876708612075473
